Call_Id,Call_Arrival_Time,Skill_ID,Agent_ID,Agent,Date,Time,Answered_YN,Answered_Time,Call_Departure_Time,Resolved,Speed_of_Answer_Seconds,AvgTalkDuration,Satisfaction_Rating
ID00001,01/21/2024 09:01,Customer_Service,Agent_C,C,01/21/2024,9:01:47,Y,01/21/2024 09:01,01/21/2024 09:05,Y,6,3:13,3
ID00002,01/24/2024 16:05,New_Accounts,Agent_A,A,01/24/2024,16:05:37,Y,01/24/2024 16:06,01/24/2024 16:07,Y,33,1:49,3
ID00003,01/20/2024 08:35,Customer_Service,Agent_G,G,01/20/2024,8:35:12,Y,01/20/2024 08:35,01/20/2024 08:39,Y,0,4:32,3
ID00004,01/26/2024 08:48,Customer_Service,Agent_F,F,01/26/2024,8:48:51,Y,01/26/2024 08:48,01/26/2024 08:50,Y,8,1:45,3
ID00005,01/31/2024 13:06,Technical_Support,Agent_F,F,01/31/2024,13:06:05,Y,01/31/2024 13:06,01/31/2024 13:08,Y,18,1:54,3
ID00006,01/26/2024 08:46,Sales,Agent_G,G,01/26/2024,8:46:29,Y,01/26/2024 08:47,01/26/2024 08:48,Y,32,1:19,3
ID00007,01/21/2024 17:56,Sales,Agent_B,B,01/21/2024,17:56:55,Y,01/21/2024 17:57,01/21/2024 18:00,Y,13,3:21,4
ID00008,1/8/2024 12:05,Customer_Service,Agent_A,A,1/8/2024,12:05:54,Y,1/8/2024 12:06,1/8/2024 12:09,Y,37,3:02,3
ID00009,01/27/2024 13:10,Sales,Agent_E,E,01/27/2024,13:10:23,Y,01/27/2024 13:10,01/27/2024 13:11,Y,6,0:49,3
ID00010,1/3/2024 17:40,Technical_Support,Agent_C,C,1/3/2024,17:40:10,Y,1/3/2024 17:40,1/3/2024 17:44,Y,7,3:44,3
ID00011,01/30/2024 16:14,Billing,Agent_C,C,01/30/2024,16:14:43,Y,01/30/2024 16:14,01/30/2024 16:16,Y,14,1:46,2
ID00012,1/11/2024 14:17,Sales,Agent_E,E,1/11/2024,14:17:04,Y,1/11/2024 14:17,1/11/2024 14:22,Y,35,5:05,3
ID00013,01/29/2024 15:09,Billing,Agent_F,F,01/29/2024,15:09:16,Y,01/29/2024 15:09,01/29/2024 15:11,Y,6,2:32,3
ID00014,01/19/2024 14:23,Technical_Support,Agent_C,C,01/19/2024,14:23:14,Y,01/19/2024 14:23,01/19/2024 14:25,Y,21,2:04,3
ID00015,1/2/2024 9:09,Sales,Agent_G,G,1/2/2024,9:09:40,Y,1/2/2024 9:09,1/2/2024 9:14,Y,4,4:45,3
ID00016,01/20/2024 15:33,Billing,Agent_A,A,01/20/2024,15:33:16,Y,01/20/2024 15:33,01/20/2024 15:35,Y,3,2:20,3
ID00017,01/29/2024 16:48,Retention,Agent_F,F,01/29/2024,16:48:17,Y,01/29/2024 16:48,01/29/2024 16:53,Y,24,5:02,3
ID00018,01/15/2024 08:46,Billing,Agent_C,C,01/15/2024,8:46:56,Y,01/15/2024 08:47,01/15/2024 08:49,Y,19,2:16,3
ID00019,01/21/2024 12:53,Billing,Agent_D,D,01/21/2024,12:53:40,Y,01/21/2024 12:53,01/21/2024 12:56,Y,0,3:16,3
ID00020,01/18/2024 16:58,Customer_Service,Agent_F,F,01/18/2024,16:58:00,Y,01/18/2024 16:58,01/18/2024 16:59,N,14,1:24,3
ID00021,01/29/2024 12:15,Retention,Agent_B,B,01/29/2024,12:15:03,Y,01/29/2024 12:15,01/29/2024 12:16,Y,16,0:45,3
ID00022,1/3/2024 16:49,Technical_Support,Agent_H,H,1/3/2024,16:49:08,N,,,N,,,
ID00023,1/6/2024 12:33,Sales,Agent_B,B,1/6/2024,12:33:55,N,,,N,,,
ID00024,01/25/2024 11:45,Customer_Service,Agent_D,D,01/25/2024,11:45:19,Y,01/25/2024 11:45,01/25/2024 11:47,Y,11,1:50,3
ID00025,1/4/2024 11:14,Retention,Agent_E,E,1/4/2024,11:14:04,Y,1/4/2024 11:14,1/4/2024 11:15,Y,28,1:11,3
ID00026,01/23/2024 08:14,New_Accounts,Agent_F,F,01/23/2024,8:14:04,Y,01/23/2024 08:14,01/23/2024 08:16,Y,41,1:28,3
ID00027,01/22/2024 15:13,Customer_Service,Agent_F,F,01/22/2024,15:13:34,Y,01/22/2024 15:14,01/22/2024 15:18,Y,49,4:21,3
ID00028,01/14/2024 11:06,Sales,Agent_E,E,01/14/2024,11:06:06,Y,01/14/2024 11:06,01/14/2024 11:09,Y,5,3:48,3
ID00029,01/24/2024 08:43,Customer_Service,Agent_B,B,01/24/2024,8:43:41,Y,01/24/2024 08:43,01/24/2024 08:47,Y,12,3:40,4
ID00030,01/26/2024 09:15,Customer_Service,Agent_F,F,01/26/2024,9:15:12,Y,01/26/2024 09:16,01/26/2024 09:17,Y,75,0:56,3
ID00031,01/15/2024 11:55,New_Accounts,Agent_A,A,01/15/2024,11:55:59,Y,01/15/2024 11:56,01/15/2024 12:01,N,25,5:11,3
ID00032,01/27/2024 08:05,Sales,Agent_D,D,01/27/2024,8:05:59,Y,01/27/2024 08:06,01/27/2024 08:09,Y,30,2:57,3
ID00033,1/7/2024 14:57,New_Accounts,Agent_A,A,1/7/2024,14:57:03,N,,,N,,,
ID00034,1/9/2024 15:18,Customer_Service,Agent_F,F,1/9/2024,15:18:27,Y,1/9/2024 15:18,1/9/2024 15:22,Y,6,4:10,3
ID00035,01/31/2024 08:37,New_Accounts,Agent_E,E,01/31/2024,8:37:47,Y,01/31/2024 08:38,01/31/2024 08:40,Y,22,2:17,3
ID00036,01/17/2024 16:10,Customer_Service,Agent_B,B,01/17/2024,16:10:03,N,,,N,,,
ID00037,1/3/2024 17:04,Retention,Agent_G,G,1/3/2024,17:04:43,Y,1/3/2024 17:05,1/3/2024 17:07,N,30,2:17,4
ID00038,1/8/2024 17:38,Technical_Support,Agent_H,H,1/8/2024,17:38:02,Y,1/8/2024 17:38,1/8/2024 17:39,Y,17,1:22,3
ID00039,1/11/2024 12:13,New_Accounts,Agent_D,D,1/11/2024,12:13:42,Y,1/11/2024 12:13,1/11/2024 12:18,Y,15,4:04,3
ID00040,01/21/2024 12:29,Customer_Service,Agent_B,B,01/21/2024,12:29:20,Y,01/21/2024 12:29,01/21/2024 12:31,Y,28,1:25,3
ID00041,01/19/2024 09:04,Retention,Agent_G,G,01/19/2024,9:04:34,Y,01/19/2024 09:05,01/19/2024 09:11,Y,26,6:42,3
ID00042,1/3/2024 11:23,New_Accounts,Agent_E,E,1/3/2024,11:23:18,Y,1/3/2024 11:23,1/3/2024 11:24,N,17,1:23,4
ID00043,01/21/2024 16:00,Billing,Agent_E,E,01/21/2024,16:00:42,N,,,N,,,
ID00044,1/4/2024 10:16,Billing,Agent_C,C,1/4/2024,10:16:07,Y,1/4/2024 10:16,1/4/2024 10:21,Y,24,4:32,3
ID00045,01/23/2024 13:13,Customer_Service,Agent_D,D,01/23/2024,13:13:43,Y,01/23/2024 13:13,01/23/2024 13:16,Y,8,2:17,3
ID00046,01/30/2024 08:05,Customer_Service,Agent_D,D,01/30/2024,8:05:40,Y,01/30/2024 08:05,01/30/2024 08:07,Y,2,1:58,3
ID00047,1/5/2024 12:10,Technical_Support,Agent_H,H,1/5/2024,12:10:47,Y,1/5/2024 12:10,1/5/2024 12:14,Y,9,3:56,3
ID00048,01/31/2024 10:34,Technical_Support,Agent_C,C,01/31/2024,10:34:02,Y,01/31/2024 10:34,01/31/2024 10:34,Y,9,0:32,3
ID00049,1/12/2024 8:57,Customer_Service,Agent_C,C,1/12/2024,8:57:22,Y,1/12/2024 8:57,1/12/2024 8:59,Y,8,2:29,3
ID00050,01/18/2024 14:39,Customer_Service,Agent_C,C,01/18/2024,14:39:47,N,,,N,,,
ID00051,01/26/2024 10:56,Sales,Agent_E,E,01/26/2024,10:56:26,Y,01/26/2024 10:56,01/26/2024 11:00,Y,30,3:13,3
ID00052,01/22/2024 11:17,New_Accounts,Agent_B,B,01/22/2024,11:17:10,Y,01/22/2024 11:17,01/22/2024 11:23,Y,22,6:22,3
ID00053,01/16/2024 11:12,Billing,Agent_F,F,01/16/2024,11:12:52,Y,01/16/2024 11:12,01/16/2024 11:15,Y,5,2:17,3
ID00054,1/8/2024 11:01,Technical_Support,Agent_F,F,1/8/2024,11:01:42,Y,1/8/2024 11:01,1/8/2024 11:04,Y,4,2:29,3
ID00055,01/25/2024 12:22,Sales,Agent_E,E,01/25/2024,12:22:41,N,,,N,,,
ID00056,1/4/2024 12:11,Customer_Service,Agent_E,E,1/4/2024,12:11:37,Y,1/4/2024 12:12,1/4/2024 12:17,Y,40,5:03,3
ID00057,1/12/2024 13:27,Sales,Agent_B,B,1/12/2024,13:27:38,Y,1/12/2024 13:27,1/12/2024 13:29,Y,19,1:48,3
ID00058,1/9/2024 8:45,Customer_Service,Agent_C,C,1/9/2024,8:45:27,Y,1/9/2024 8:45,1/9/2024 8:53,Y,26,7:53,2
ID00059,01/22/2024 13:39,Customer_Service,Agent_A,A,01/22/2024,13:39:20,Y,01/22/2024 13:39,01/22/2024 13:41,Y,20,1:46,3
ID00060,1/10/2024 14:20,Sales,Agent_B,B,1/10/2024,14:20:25,Y,1/10/2024 14:20,1/10/2024 14:25,Y,30,4:25,3
ID00061,01/13/2024 10:39,Billing,Agent_C,C,01/13/2024,10:39:36,Y,01/13/2024 10:39,01/13/2024 10:41,Y,8,1:51,3
ID00062,01/26/2024 17:38,Customer_Service,Agent_F,F,01/26/2024,17:38:41,Y,01/26/2024 17:38,01/26/2024 17:42,Y,18,3:39,3
ID00063,01/16/2024 10:42,Customer_Service,Agent_D,D,01/16/2024,10:42:05,Y,01/16/2024 10:42,01/16/2024 10:46,N,29,4:13,3
ID00064,1/8/2024 12:14,Customer_Service,Agent_A,A,1/8/2024,12:14:51,Y,1/8/2024 12:15,1/8/2024 12:18,N,16,3:13,3
ID00065,01/20/2024 09:29,Technical_Support,Agent_D,D,01/20/2024,9:29:26,Y,01/20/2024 09:29,01/20/2024 09:37,Y,8,7:45,3
ID00066,01/13/2024 11:09,Billing,Agent_C,C,01/13/2024,11:09:41,Y,01/13/2024 11:10,01/13/2024 11:12,Y,29,2:38,2
ID00067,01/26/2024 16:29,Technical_Support,Agent_B,B,01/26/2024,16:29:03,Y,01/26/2024 16:29,01/26/2024 16:32,N,32,2:26,3
ID00068,01/22/2024 16:35,Technical_Support,Agent_H,H,01/22/2024,16:35:38,Y,01/22/2024 16:35,01/22/2024 16:38,Y,10,3:05,2
